date_posted,company,job_type,expected_start_date,salary_range,job_description
2026-01-30,Cloudious LLC,,,"$124,800 - $135,200","Job Title: Software Engineer - Media Platform (Python/AWS) Location: New York, NY Work Mode: Onsite Pay Rate: $65/hr About the Role We are seeking a skilled Software Engineer to join our team, a media file transformation and content distribution platform built on AWS. You will develop and maintain serverless workflows that power media operations for content distribution deals and internal content supply pipelines. Responsibilities Design, develop, and maintain serverless applications using AWS …"
2025-10-29,Jefferies Financial Group,,full_time,"$175,000 - $200,000","Description About the Role The Equities – Prime Services technology team is looking for a technically strong and motivated Java developer to join the OTD technology group. This role focuses on the design, development, and support of strategic trading systems that serve a global OTD user base. This role entails coordinating with users, business analysts to build the OTD data hub platform for the US business and support the new trading desk expand to other regions. Key Responsibilities Hands-on d…"
2026-01-30,SynergisticIT,,,"$143,329 - $143,329","""Stop Failing Interviews—Start Owning Them” For jobseekers who get interviews but don't convert them into offers If you're getting interviews but not offers, you're closer than you think—yet that final gap can feel brutal. Many candidates spend months learning frameworks and finishing courses, only to freeze during technical screens, system questions, or behavioral rounds. The result is painful: ""almost hired” over and over again, while the confidence drops. The truth is that interviewing is it…"
2025-12-14,Fortitude Re,,,"$116,329 - $116,329","The Senior Associate, Actuarial Applications will support actuarial technology initiatives and be responsible for data and applications for use across our Actuarial teams. The primary role is to build and deploy well-governed applications to ensure data and application flows are automated and offer end-to-end processing using a cloud-first enterprise technology stack. This role will be based in our Jersey City, NJ office on a hybrid basis. What You Will Do: Implement strategic and tactical init…"
2025-11-15,Five Rings,,full_time,"$114,289 - $114,289","About Five Rings Five Rings is a proprietary trading firm founded with a vision of combining strategy, innovation and technology to succeed in today’s global markets. With offices in New York, Boca Raton, London and Amsterdam, Five Rings trades in various domestic and international markets, both established and esoteric. Our team constantly seeks new opportunities, analyzes their risks and rewards, and creates strategies and tools to capitalize on them. We have an open culture and encourage the…"
2026-01-30,JPMorganChase,,full_time,"$118,750 - $160,000","Description Join our collaborative and innovative team, where your expertise in capacity management will help shape the future of our technology. We value diverse perspectives and are committed to fostering an inclusive environment where everyone can thrive and contribute to impactful solutions. As an Infrastructure Engineer III-Capacity Management at JPMorgan Chase within the Corporate Technology Information Management team, you utilize strong knowledge of software, applications, and technical…"
2026-01-16,NBC Universal,,,"$373,548 - $373,548","NBCUniversal is one of the world's leading media and entertainment companies. We create world-class content, which we distribute across our portfolio of film, television, and streaming, and bring to life through our global theme park destinations, consumer products, and experiences. We own and operate leading entertainment and news brands, including NBC, NBC News, NBC Sports, Telemundo, NBC Local Stations, Bravo, and Peacock, our premium ad-supported streaming service. We produce and distribute…"
2025-07-31,Elliot Partnership,,full_time,"$152,817 - $152,817","Senior Security Infrastructure Engineer for a leading Quant Firm Hybrid working in New York Highly competitive compensation package Are you an experienced security-focused systems engineer looking to work on complex, large-scale infrastructure? A leading technology-driven firm is seeking a Senior Security Infrastructure Engineer to help design and enhance its global security framework. This role offers the opportunity to work in a high-impact, collaborative environment at the intersection of se…"
2025-12-14,iCapital,,full_time,"$298,850 - $298,850","About the Role The Full Stack Engineer at iCapital will work end-to-end on new features, enhancements, and defect resolution on one or more of iCapitals software platforms. You will work closely with our Product Management team throughout the software development process, detailing requirements, reviewing work in progress, and addressing issues found in manual test efforts. Responsibilities Web application development in Typescript as front end and Python as a backend. Strong grasp of system de…"
2025-10-03,UJA Careers,,full_time,"$90,000 - $100,000","The Data Engineering and Architecture team at UJA-Federation of New York is seeking an experienced Data Engineer . The ideal candidate will bring strong expertise in Python development for data-intensive applications, coupled with familiarity in Azure DevOps practices and some familiarity with Infrastructure as Code (IaC) approach.â¯This role involves building scalable data pipelines, improving data quality and reliability, and collaborating with cross-functional teams to support analytics, re…"
2025-10-20,JPMorgan Chase,,,"$251,415 - $251,415","Be an integral part of an agile team that's constantly pushing the envelope to enhance, build, and deliver top-notch technology products. As a Senior Lead Software Engineer at JPMorgan Chase within the Commercial & Investment Bank Markets Data Lake Platform Engineering team, you will be an essential member of an agile team dedicated to enhancing, building, and delivering trusted market-leading technology products in a secure, stable, and scalable manner. You will drive significant business impa…"
2026-01-16,Capgemini,,,"$156,375 - $156,375","LLM Experienced professional opportunity in NYC Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you'd like, where you'll be supported and inspired by?a collaborative community of colleagues around the world, and where you'll be able to reimagine what's possible. Join us and help the world's leading organizations?unlock the value of technology and build a more sustainable, more inclusive world. Onsite Location: New York Job Description Stro…"
2024-08-02,Lifeposts,contract,part_time,"$102,974 - $102,974","LifePosts is looking for full-stack developers with particular fluency in Python/Django developer (3 years experience) to join our technology team. Our stack is Django/Python, Postgresql and Celery, running on Heroku. An ideal candidate will have proficiency both with the back end code as well as HTML/JS/CSS. LifePosts is a fast-moving early-stage startup, so you should be comfortable working independently, and interacting directly with business stakeholders and project managers. Sense of humor…"
2024-08-08,Quanta Search,,,"$172,399 - $172,399","OUR CLIENT, A PROSPEROUS ASSET MANAGER, IS SEEKING A DATA ENGINEER As a part of their stellar research team—Market Intelligence—you’ll partner with investment professionals and Compliance team to uncover insights about companies, industries, and the broader economy through deep fundamental research and applying data science and engineering techniques to alternative data sets. You’ll work alongside a talented team with diverse skills, backgrounds, and perspectives. Researchers, product managers,…"
2025-12-06,Vatic Labs,,,"$125,000 - $250,000","Our technology team is seeking talented engineers who are interested in building and supporting globally distributed trading and research systems. You will collaborate with software, hardware, and systems engineers to build and optimize tools that will improve the efficiency and operations of our systems. Strong Python and CI/CD skills are a must, as is a keen eye for automation. Given our growth and expansion plans, there is tremendous opportunity for contribution and expansion of your skills …"
2024-08-07,Vatic Labs,,,"$175,000 - $275,000","Vatic is looking for an AI engineer with proven experience with large foundational models. Our environment is highly collaborative, fostering innovation and growth. We are interested in a variety of data modalities (language, vision, multimodal, and structured data) and modern model architectures. We are looking for team players who are interested in developing next-generation platforms and tools for Machine Learning as well as conducting state-of-the-art research. As an AI Engineer you will: P…"
